State,Abbreviation,Total_EV,D_Nominee,D_Percentage,D_Votes,R_Nominee,R_Percentage,R_Votes,Year,id
Alaska,AK,3,MICHAEL S. DUKAKIS,36.3,72584,GEORGE BUSH,59.6,119251,1988,1
Alabama,AL,9,MICHAEL S. DUKAKIS,39.9,549506,GEORGE BUSH,59.2,815576,1988,80
Arkansas,AR,6,MICHAEL S. DUKAKIS,42.2,349237,GEORGE BUSH,56.4,466578,1988,66
Arizona,AZ,7,MICHAEL S. DUKAKIS,38.7,454029,GEORGE BUSH,60,702541,1988,63
California,CA,47,MICHAEL S. DUKAKIS,47.6,4702233,GEORGE BUSH,51.1,5054917,1988,50
Colorado,CO,8,MICHAEL S. DUKAKIS,45.3,621453,GEORGE BUSH,53.1,728177,1988,52
Connecticut,CT,8,MICHAEL S. DUKAKIS,46.9,676584,GEORGE BUSH,52,750241,1988,47
Dist. of Col.,DC,3,MICHAEL S. DUKAKIS,82.6,159407,GEORGE BUSH,14.3,27590,1988,59
Delaware,DE,3,MICHAEL S. DUKAKIS,43.5,108647,GEORGE BUSH,55.9,139639,1988,70
Florida,FL,21,MICHAEL S. DUKAKIS,38.5,1656701,GEORGE BUSH,60.9,2618885,1988,94
Georgia,GA,12,MICHAEL S. DUKAKIS,39.5,714792,GEORGE BUSH,59.8,1081331,1988,81
Hawaii,HI,4,MICHAEL S. DUKAKIS,54.3,192364,GEORGE BUSH,44.8,158625,1988,86
Iowa,IA,8,MICHAEL S. DUKAKIS,54.7,670557,GEORGE BUSH,44.5,545355,1988,42
Idaho,ID,4,MICHAEL S. DUKAKIS,36,147272,GEORGE BUSH,62.1,253881,1988,27
Illinois,IL,24,MICHAEL S. DUKAKIS,48.6,2215940,GEORGE BUSH,50.7,2310939,1988,31
Indiana,IN,12,MICHAEL S. DUKAKIS,39.7,860643,GEORGE BUSH,59.8,1297763,1988,43
Kansas,KS,7,MICHAEL S. DUKAKIS,42.6,422636,GEORGE BUSH,55.8,554049,1988,65
Kentucky,KY,9,MICHAEL S. DUKAKIS,43.9,580368,GEORGE BUSH,55.5,734281,1988,55
Louisiana,LA,10,MICHAEL S. DUKAKIS,44.1,717460,GEORGE BUSH,54.3,883702,1988,78
Massachusetts,MA,13,MICHAEL S. DUKAKIS,53.2,1401415,GEORGE BUSH,45.4,1194635,1988,36
Maryland,MD,10,MICHAEL S. DUKAKIS,48.2,826304,GEORGE BUSH,51.1,876167,1988,58
Maine,ME,4,MICHAEL S. DUKAKIS,43.9,243569,GEORGE BUSH,55.3,307131,1988,12
Michigan,MI,20,MICHAEL S. DUKAKIS,45.7,1675783,GEORGE BUSH,53.6,1965486,1988,33
Minnesota,MN,10,MICHAEL S. DUKAKIS,52.9,1109471,GEORGE BUSH,45.9,962337,1988,30
Missouri,MO,11,MICHAEL S. DUKAKIS,47.8,1001619,GEORGE BUSH,51.8,1084953,1988,54
Mississippi,MS,7,MICHAEL S. DUKAKIS,39.1,363921,GEORGE BUSH,59.9,557890,1988,79
Montana,MT,4,MICHAEL S. DUKAKIS,46.2,168936,GEORGE BUSH,52.1,190412,1988,28
North Carolina,NC,13,MICHAEL S. DUKAKIS,41.7,890167,GEORGE BUSH,58,1237258,1988,68
North Dakota,ND,3,MICHAEL S. DUKAKIS,43,127739,GEORGE BUSH,56,166559,1988,29
Nebraska,NE,5,MICHAEL S. DUKAKIS,39.2,259235,GEORGE BUSH,60.2,397956,1988,53
New Hampshire,NH,4,MICHAEL S. DUKAKIS,36.3,163696,GEORGE BUSH,62.4,281537,1988,24
New Jersey,NJ,16,MICHAEL S. DUKAKIS,42.6,1320352,GEORGE BUSH,56.2,1743192,1988,46
New Mexico,NM,5,MICHAEL S. DUKAKIS,46.9,244497,GEORGE BUSH,51.9,270341,1988,64
Nevada,NV,4,MICHAEL S. DUKAKIS,37.9,132738,GEORGE BUSH,58.9,206040,1988,39
New York,NY,36,MICHAEL S. DUKAKIS,51.6,3347882,GEORGE BUSH,47.5,3081871,1988,34
Ohio,OH,23,MICHAEL S. DUKAKIS,44.1,1939629,GEORGE BUSH,55,2416549,1988,44
Oklahoma,OK,8,MICHAEL S. DUKAKIS,41.3,483423,GEORGE BUSH,57.9,678367,1988,77
